;perturbation;group;grit;compound;conc
390;Linsit_646;0.00833;-0.2634934516899904;Linsit;0.00833
391;Linsit_724;10.0;1.857632835831898;Linsit;10.0
392;Linsit_731;0.333;0.3914334606133008;Linsit;0.333
393;Linsit_750;0.1;-0.10122247336732088;Linsit;0.1
394;Linsit_807;0.333;-0.04320130368804143;Linsit;0.333
395;Linsit_825;0.0333;0.43751131734233467;Linsit;0.0333
396;Linsit_849;1.0;-0.17577091511849172;Linsit;1.0
397;Linsit_858;0.1;0.5770846252809978;Linsit;0.1
398;Linsit_905;0.0333;0.45107539169794436;Linsit;0.0333
399;Linsit_912;0.00833;-0.5409107279063627;Linsit;0.00833
400;Linsit_937;1.0;1.0136438317458492;Linsit;1.0
401;Linsit_968;0.00833;0.2507736600012579;Linsit;0.00833
402;Linsit_987;0.00833;0.189989233807077;Linsit;0.00833
403;Linsit_998;0.0333;0.3968752895031863;Linsit;0.0333
404;MK-177_1012;0.333;0.769711760628454;MK-177;0.333
405;MK-177_1013;0.0333;0.18412068581620297;MK-177;0.0333
406;MK-177_1087;0.00833;0.23425220536603453;MK-177;0.00833
407;MK-177_1088;1.0;1.154645405463808;MK-177;1.0
408;MK-177_1106;0.00833;0.27336211540038036;MK-177;0.00833
409;MK-177_1113;1.0;1.1783890251069347;MK-177;1.0
410;MK-177_1165;0.333;0.8029395008795567;MK-177;0.333
411;MK-177_1209;0.0333;0.44240831190402163;MK-177;0.0333
412;MK-177_658;10.0;2.719247254131005;MK-177;10.0
413;MK-177_671;0.0333;-0.1033473050088854;MK-177;0.0333
414;MK-177_684;0.333;0.8310824936626747;MK-177;0.333
415;MK-177_699;0.1;0.50367632251412;MK-177;0.1
416;MK-177_720;1.0;1.1211138532378402;MK-177;1.0
417;MK-177_753;0.00833;-0.558265112229301;MK-177;0.00833
418;MK-177_778;0.333;0.6384895399889435;MK-177;0.333
