Metadata_pert_name,corr,Metadata_name,Metadata_conc_step,cell_line,kind
AZD45_4.0,0.5045000823573578,AZD45,4.0,HT29,replicate
AZD77_4.0,0.787095018736843,AZD77,4.0,HT29,replicate
AZD80_4.0,0.4274248547341225,AZD80,4.0,HT29,replicate
Alpel_4.0,0.36874197942671605,Alpel,4.0,HT29,replicate
BMS-7_4.0,0.6474460393865247,BMS-7,4.0,HT29,replicate
Binim_4.0,0.7371932710341778,Binim,4.0,HT29,replicate
Dabra_4.0,0.290668134453186,Dabra,4.0,HT29,replicate
Doram_4.0,0.0735856638686572,Doram,4.0,HT29,replicate
Encor_4.0,0.7472035494892337,Encor,4.0,HT29,replicate
Fluor_4.0,0.22556190016462607,Fluor,4.0,HT29,replicate
Gefit_4.0,0.5615847010014633,Gefit,4.0,HT29,replicate
Gemci_4.0,0.6679807406216505,Gemci,4.0,HT29,replicate
LGK-9_4.0,-0.06584933213626314,LGK-9,4.0,HT29,replicate
Linsi_4.0,0.7040941895120411,Linsi,4.0,HT29,replicate
Migli_4.0,0.1006069679703947,Migli,4.0,HT29,replicate
Navit_4.0,-0.015383272310912126,Navit,4.0,HT29,replicate
Nutli_4.0,0.10146127850596784,Nutli,4.0,HT29,replicate
Olapa_4.0,-0.00787156888261551,Olapa,4.0,HT29,replicate
Oxali_4.0,0.5756046897932219,Oxali,4.0,HT29,replicate
PD032_4.0,0.6052929108577783,PD032,4.0,HT29,replicate
PI-10_4.0,-0.08301829159403737,PI-10,4.0,HT29,replicate
Palbo_4.0,0.47404883640498474,Palbo,4.0,HT29,replicate
Phenf_4.0,0.1282046081112056,Phenf,4.0,HT29,replicate
Rabus_4.0,0.8133512727631926,Rabus,4.0,HT29,replicate
Regor_4.0,0.30683200796513543,Regor,4.0,HT29,replicate
Ruxol_4.0,0.02517474446465981,Ruxol,4.0,HT29,replicate
SB216_4.0,-0.07987207073109523,SB216,4.0,HT29,replicate
SB505_4.0,0.1108940016697032,SB505,4.0,HT29,replicate
SN-38_4.0,0.32846780770324413,SN-38,4.0,HT29,replicate
Sapit_4.0,0.010134359680522068,Sapit,4.0,HT29,replicate
Soraf_4.0,0.2259122455503346,Soraf,4.0,HT29,replicate
Tanes_4.0,,Tanes,4.0,HT29,replicate
Tasel_4.0,0.5358356945894625,Tasel,4.0,HT29,replicate
Temoz_4.0,0.048528979988218965,Temoz,4.0,HT29,replicate
Trame_4.0,0.018175874209096648,Trame,4.0,HT29,replicate
Trici_4.0,0.06623643680366635,Trici,4.0,HT29,replicate
Trifl_4.0,0.4720272887821446,Trifl,4.0,HT29,replicate
